VCD info: dumpfile dump.vcd opened for output.
timestamp,moisture_raw,nutrient_raw,temp_raw,moisture_avg,nutrient_avg,temp_avg,pump_on,dose_nutrient,alert_nutrient,alert_weed,alert_heat,alert_frost,alert_anomaly,status,crop_health,relocate_recommend
41,84,61,25,43,60,24,1,0,0,0,0,0,0,0,100,0
42,92,59,24,49,60,25,1,0,0,0,0,0,0,0,100,0
43,89,60,25,56,60,25,1,0,0,0,0,0,0,0,100,0
44,86,59,24,62,59,24,1,0,0,0,0,0,0,0,100,0
45,83,60,25,68,59,24,1,0,0,0,0,0,0,0,100,0
46,80,59,24,75,60,24,0,0,0,0,0,0,0,0,100,0
47,79,60,25,81,60,25,0,0,0,0,0,0,0,0,100,0
48,80,59,24,84,59,25,0,0,0,0,0,0,0,0,100,0
49,79,60,25,83,59,25,0,0,0,0,0,0,0,0,100,0
50,80,59,24,82,59,24,0,0,0,0,0,0,0,0,100,0
51,79,61,25,81,60,24,0,0,0,0,0,0,0,0,100,0
52,80,59,24,80,60,25,0,0,0,0,0,0,0,0,100,0
53,79,60,25,79,60,25,0,0,0,0,0,0,0,0,100,0
54,81,59,24,80,59,24,0,0,0,0,0,0,0,0,100,0
55,79,60,25,80,59,24,0,0,0,0,0,0,0,0,100,0
56,80,59,24,80,60,24,0,0,0,0,0,0,0,0,100,0
57,79,60,25,79,60,25,0,0,0,0,0,0,0,0,100,0
58,80,59,24,79,59,25,0,0,0,0,0,0,0,0,100,0
59,30,60,25,73,59,25,0,0,0,0,0,0,0,0,100,0
60,30,59,24,67,59,24,0,0,0,0,0,0,0,0,100,0
61,30,61,25,61,60,24,0,0,0,0,0,0,0,0,100,0
62,30,59,24,54,60,25,0,0,0,1,0,0,0,2,68,0
# CARETAKER TX #1: sev=CRITICAL event=WEED_DETECTED action=INSPECT_WEED health=175 ts=62 (packet=331af0000000003e)
C,62,CRITICAL,WEED_DETECTED,INSPECT_WEED,175,1
63,50,60,25,51,60,25,0,0,0,1,0,0,0,2,68,0
64,72,59,24,50,59,24,0,0,0,0,0,0,0,0,100,0
65,80,60,25,50,59,24,0,0,0,0,0,0,0,0,100,0
66,80,59,24,50,60,24,0,0,0,0,0,0,0,0,100,0
67,79,60,25,56,60,25,0,0,0,0,0,0,0,0,100,0
68,80,59,24,62,59,25,0,0,0,0,0,0,0,0,100,0
69,79,60,25,68,59,25,0,0,0,0,0,0,0,0,100,0
70,80,59,24,75,59,24,0,0,0,0,0,0,0,0,100,0
71,79,61,25,78,60,24,0,0,0,0,0,0,0,0,100,0
72,80,59,24,79,60,25,0,0,0,0,0,0,0,0,100,0
73,79,60,25,79,60,25,0,0,0,0,0,0,0,0,100,0
74,81,59,24,80,59,24,0,0,0,0,0,0,0,0,100,0
75,79,60,26,80,59,25,0,0,0,0,0,0,0,0,100,0
76,80,59,27,80,60,25,0,0,0,0,0,0,0,0,100,0
77,79,60,28,79,60,25,0,0,0,0,0,0,0,0,100,0
78,80,59,29,79,59,26,0,0,0,0,0,0,0,0,100,0
79,79,60,31,80,59,27,0,0,0,0,0,0,0,0,100,0
80,80,59,32,80,59,28,0,0,0,0,0,0,0,0,100,0
81,79,61,33,79,60,29,0,0,0,0,0,0,0,0,100,0
82,80,59,34,79,60,30,0,0,0,0,0,0,0,0,100,0
83,79,60,35,79,60,31,0,0,0,0,0,0,0,0,100,0
84,81,59,37,80,59,32,0,0,0,0,0,0,0,0,100,0
85,79,60,38,80,59,34,0,0,0,0,0,0,0,0,100,0
86,80,59,39,80,60,35,0,0,0,0,0,0,0,0,100,0
87,79,60,40,79,60,36,0,0,0,0,0,0,0,0,100,0
88,80,59,41,79,59,37,0,0,0,0,0,0,0,0,100,0
89,79,60,43,80,59,38,0,0,0,0,0,0,0,0,100,0
90,80,59,44,80,59,40,0,0,0,0,0,0,0,0,100,0
91,79,61,45,79,60,41,0,0,0,0,1,0,0,1,80,0
92,80,59,46,79,60,42,0,0,0,0,1,0,0,1,80,0
93,68,60,46,78,60,43,0,0,0,0,1,0,0,1,80,0
94,58,59,46,75,59,44,0,0,0,0,1,0,0,1,80,0
95,50,60,46,72,59,44,0,0,0,0,1,0,0,1,80,0
96,46,59,46,67,60,45,0,0,0,0,1,0,0,2,80,0
# CARETAKER TX #2: sev=CRITICAL event=STATUS_CRITICAL action=RELOCATE_REV health=205 ts=96 (packet=385cd00000000060)
C,96,CRITICAL,STATUS_CRITICAL,RELOCATE_REV,205,2
97,45,60,46,63,60,45,0,0,0,0,1,0,0,2,80,0
98,45,59,46,58,59,45,0,0,0,0,1,0,0,2,80,0
99,45,60,46,54,59,46,0,0,0,0,1,0,0,2,80,0
100,46,59,46,50,59,46,0,0,0,0,1,0,0,2,80,0
101,60,61,40,49,60,45,0,0,0,0,1,0,0,2,80,0
